,time,n-xpos,n-ypos,t-xpos,t-ypos,c-xpos,c-ypos,c-xvel,c-yvel,c-xacc,c-yacc,c-speed,c-scacc,a-pos,a-vel,time-aligned
122,3.080267559,0.035546026,0.462474584,-0.024769586,0.425700226,0.00538822,0.444087405,-0.053185038,0.039237438,-1.17390597,1.661820047,0.066092548,2.034625542,31.37061334,36.73836597,2.859159358999997
123,3.113712375,0.030242768,0.464402964,-0.02435988,0.428214164,0.002941444,0.446308564,-0.07332995,0.066568198,-0.603743596,0.819103689,0.099038409,1.017564339,33.53507951,64.86911598,2.8926041749999967
124,3.147157191,0.026751935,0.465825562,-0.024038933,0.429695403,0.001356501,0.447760482,-0.047500791,0.04351404,0.774100659,-0.690933802,0.064418917,1.037603656,35.42620078,56.67696125,2.9260489909999965
125,3.180602007,0.026586233,0.466262876,-0.023864863,0.429430249,0.001360685,0.447846562,0.000125405,0.002579827,1.427358518,-1.226799584,0.002582874,1.882123683,36.13190884,21.15009155,2.9594938069999968
126,3.214046823,0.028181431,0.46625555,-0.02377491,0.428348699,0.00220326,0.447302125,0.025252002,-0.016316816,0.753044861,-0.566332975,0.030064964,0.942236489,36.11413343,-0.5327294,2.9929386229999966
127,3.247491639,0.029313238,0.466451504,-0.023819483,0.427478451,0.002746877,0.446964978,0.016292219,-0.010104299,-0.26852496,0.186189321,0.019171157,0.32676003,36.26018887,4.377285716,3.026383438999997
128,3.280936455,0.029127977,0.467084883,-0.024062266,0.426864831,0.002532856,0.446974857,-0.00641424,0.000296079,-0.68051325,0.311699645,0.00642107,0.748501805,37.09492042,25.01692982,3.0598282549999967
129,3.314381271,0.028001173,0.46796754,-0.024424146,0.426207537,0.001788513,0.447087538,-0.022307963,0.003377065,-0.476335359,0.092337237,0.022562132,0.485202575,38.53948595,43.29367201,3.0932730709999965
130,3.347826087,0.02719755,0.468508095,-0.024830717,0.425719475,0.001183417,0.447113785,-0.018134756,0.000786599,0.125071139,-0.077636331,0.018151807,0.147207981,39.43425568,26.81627578,3.1267178869999968
131,3.381270903,0.028151991,0.468149234,-0.02532289,0.425762053,0.00141455,0.446955644,0.006927084,-0.004739489,0.751104101,-0.165617043,0.008393286,0.769146524,38.40231125,-30.92740567,3.1601627029999966
132,3.414715719,0.029826955,0.467347654,-0.0258289,0.426094987,0.001999028,0.446721321,0.017516801,-0.00702267,0.317374123,-0.068426985,0.018872101,0.324666885,36.54620604,-55.62752873,3.193607518999997
133,3.448160535,0.027638962,0.46766603,-0.026051264,0.426105938,0.000793849,0.446885984,-0.036119244,0.004934965,-1.607473881,0.358370665,0.036454817,1.6469371,37.74244461,35.85130585,3.2270523349999967
134,3.481605351,0.018235959,0.470119332,-0.025795287,0.425583142,-0.003779664,0.447851237,-0.137068318,0.028928662,-3.025446759,0.719091817,0.140087798,3.109730074,45.32665362,227.2989715,3.2604971509999965
135,3.515050167,0.005020247,0.473715017,-0.02521544,0.42476083,-0.010097596,0.449237923,-0.189348628,0.041559034,-1.566842445,0.378532644,0.193855761,1.611918798,58.29918232,388.7870738,3.2939419669999968
136,3.548494983,-0.004513004,0.476428265,-0.024563921,0.423742076,-0.014538462,0.45008517,-0.13309288,0.025392019,1.685986448,-0.484525917,0.135493429,1.754227941,69.16454915,325.6353695,3.3273867829999966
137,3.581939799,-0.007034659,0.47744568,-0.023889702,0.422373039,-0.01546218,0.449909359,-0.02768386,-0.005269058,3.159111468,-0.918913398,0.028180829,3.290043632,72.9832109,114.445407,3.360831598999997
138,3.615384615,-0.005852725,0.477670206,-0.023131863,0.42068203,-0.014492294,0.449176118,0.029067521,-0.021975265,1.70084059,-0.500685525,0.036439443,1.773004429,73.13239987,4.471198157,3.3942764149999967
139,3.648829431,-0.005255528,0.478153444,-0.022330427,0.419057824,-0.013792978,0.448605634,0.020958537,-0.017097418,-0.243026475,0.146189213,0.027047772,0.283607393,73.88404903,22.52694771,3.4277212309999965
140,3.682274247,-0.005877909,0.478941618,-0.021589366,0.417870207,-0.013733638,0.448405912,0.001778423,-0.005985674,-0.574828593,0.333019302,0.006244284,0.664326551,75.57273342,50.60992186,3.4611660469999967
141,3.715719064,-0.006275288,0.479648858,-0.020916164,0.417007352,-0.013595726,0.448328105,0.004133205,-0.00233189,0.070572872,0.109504012,0.004745639,0.13027532,76.84470613,38.12106016,3.4946108639999967
142,3.74916388,-0.005991562,0.480358131,-0.020218476,0.415849597,-0.013105019,0.448103864,0.01470652,-0.006720506,0.316882572,-0.131526956,0.016169321,0.343094601,77.56290247,21.52436578,3.5280556799999965
143,3.782608696,-0.005599377,0.481389607,-0.019469243,0.413899858,-0.01253431,0.447644733,0.017104158,-0.013760177,0.071857273,-0.210979136,0.021952099,0.22288038,78.38679564,24.69210295,3.5615004959999967
144,3.816053512,-0.005342525,0.482552699,-0.018784727,0.411608542,-0.012063626,0.44708062,0.014106408,-0.016906472,-0.089842639,-0.094294565,0.022018618,0.130242715,79.27102243,26.50030339,3.5949453119999966
145,3.849498328,-0.00498562,0.483236164,-0.018229647,0.410225245,-0.011607634,0.446730704,0.013666111,-0.010486986,-0.013195709,0.192392187,0.017226128,0.192844186,79.71846502,13.40986794,3.628390127999997
146,3.882943144,-0.004440112,0.483186653,-0.017646791,0.410412268,-0.011043451,0.44679946,0.016908555,0.00206062,0.097176131,0.376052127,0.017033654,0.388404947,79.71422867,-0.126963487,3.6618349439999966
147,3.91638796,-0.003913965,0.482719464,-0.016972996,0.411347333,-0.010443481,0.447033399,0.017981146,0.007011132,0.032145601,0.148366989,0.019299679,0.15180943,79.63122739,-2.487550787,3.6952797599999965
148,3.949832776,-0.003612113,0.482179096,-0.016653837,0.411712025,-0.010132975,0.446945561,0.009305855,-0.002632502,-0.259998731,-0.289019998,0.00967104,0.388756864,79.51460287,-3.495240326,3.7287245759999967
149,3.983277592,-0.00354336,0.481672116,-0.017184663,0.411143037,-0.010364011,0.446407577,-0.006924164,-0.016123402,-0.486414161,-0.404322674,0.017547311,0.632515266,79.05336591,-13.82328553,3.7621693919999966
150,4.016722408,-0.003599675,0.481267465,-0.018095471,0.410066542,-0.010847573,0.445667004,-0.01449235,-0.022194991,-0.226818778,-0.181965708,0.026507468,0.290789059,78.49242387,-16.81144979,3.7956142079999964
151,4.050167224,-0.003718955,0.480896861,-0.018070813,0.408617705,-0.010894884,0.444757283,-0.00141791,-0.02726435,0.391841367,-0.151928832,0.027301195,0.420264234,78.76933927,8.299162731,3.8290590239999966
152,4.08361204,-0.003896806,0.480222854,-0.016449969,0.406608455,-0.010173388,0.443415655,0.021623265,-0.040208652,0.690544711,-0.387941136,0.045654149,0.792054495,80.32267079,46.55339215,3.862503839999997
153,4.117056856,-0.004084262,0.479373602,-0.013982849,0.404206785,-0.009033556,0.441790193,0.034160796,-0.048715116,0.375750169,-0.25493898,0.059498929,0.454072762,82.49798596,65.19426099,3.8959486559999963
154,4.150501672,-0.004216907,0.479571855,-0.011705937,0.401790203,-0.007961422,0.440681029,0.032131874,-0.033241703,-0.060806836,0.463738648,0.046232761,0.467708248,84.50035866,60.01116978,3.9293934719999966
155,4.183946488,-0.00432531,0.481882899,-0.009781674,0.399411006,-0.007053492,0.440646952,0.027210688,-0.001021268,-0.147488091,0.965647423,0.027229847,0.976845782,86.21481148,51.38220232,3.962838287999997
156,4.217391304,-0.00442424,0.485297048,-0.007965234,0.39712519,-0.006194737,0.441211119,0.02573691,0.016908103,-0.044169171,0.537343774,0.030794034,0.539156051,87.70022934,44.51801778,3.996283103999997
157,4.25083612,-0.00431614,0.487305605,-0.006489894,0.39547397,-0.005403017,0.441389788,0.023727881,0.005354692,-0.06021067,-0.346256081,0.024324577,0.351452128,88.64400017,28.28484016,4.0297279199999965
158,4.284280936,-0.003783726,0.486699577,-0.0057557,0.39491745,-0.004769713,0.440808514,0.018980135,-0.017420798,-0.142290092,-0.682582113,0.025762953,0.697255198,88.76916721,3.751259829,4.063172735999997
159,4.317725753,-0.00301937,0.484712352,-0.005578537,0.395109028,-0.004298953,0.43991069,0.014108687,-0.026907803,-0.145997452,-0.284325813,0.030382312,0.319619186,88.36401563,-12.14240503,4.096617552999997
160,4.351170569,-0.002555422,0.483102994,-0.00539835,0.395325025,-0.003976886,0.439214009,0.009652363,-0.020879536,-0.133556156,0.18066734,0.023002677,0.22467295,88.14496911,-6.564830814,4.1300623689999965
161,4.384615385,-0.00264998,0.482258377,-0.005012489,0.395315106,-0.003831234,0.438786742,0.004365185,-0.012805227,-0.158456866,0.241987267,0.01352881,0.289251475,88.44348513,8.946534258,4.163507184999997
162,4.418060201,-0.003014156,0.481631836,-0.004649547,0.395282861,-0.003831852,0.438457349,-1.85e-05,-0.009871922,-0.131379411,0.087911257,0.009871939,0.1580789,88.91498647,14.1309091,4.196952000999997
163,4.451505017,-0.003276077,0.480974514,-0.004471526,0.395345918,-0.003873801,0.438160216,-0.001257225,-0.008905076,-0.037124392,0.028976395,0.008993386,0.047094075,89.20015337,8.546460674,4.230396816999996
164,4.484949833,-0.003415371,0.48044863,-0.004389269,0.395417417,-0.00390232,0.437933024,-0.000854706,-0.00680896,0.012063513,0.062820677,0.006862394,0.063968475,89.34379575,4.304966509,4.263841632999997
165,4.518394649,-0.003533725,0.480177745,-0.004348324,0.395415683,-0.003941025,0.437796714,-0.001159977,-0.0040852,-0.009149003,0.081631152,0.004246694,0.08214225,89.44938052,3.164378642,4.297286448999997
166,4.551839465,-0.003483278,0.480215092,-0.00447476,0.395304325,-0.003979019,0.437759708,-0.001138688,-0.001109066,0.000638035,0.089194827,0.00158954,0.089197109,89.33100152,-3.547822185,4.330731264999996
167,4.585284281,-0.003050681,0.480590649,-0.004820831,0.395032869,-0.003935756,0.437811759,0.001296579,0.001559966,0.072985037,0.079990962,0.00202845,0.108283746,88.81474677,-15.47217026,4.3641760809999965
168,4.618729097,-0.002374918,0.481165837,-0.005220718,0.394614497,-0.003797818,0.437890167,0.004134013,0.002349889,0.085037966,0.023674033,0.004755212,0.088271827,88.11679876,-20.91752297,4.397620896999997
169,4.652173913,-0.001879719,0.481744103,-0.005593501,0.394224206,-0.00373661,0.437984155,0.001834412,0.002816808,-0.068919114,0.013993564,0.003361469,0.070325415,87.57019272,-16.38179922,4.431065712999997
170,4.685618729,-0.001807099,0.482313837,-0.006108015,0.394085954,-0.003957557,0.438199896,-0.006621786,0.006465772,-0.253432486,0.109359576,0.009254959,0.276020909,87.20916557,-10.81999451,4.4645105289999965
171,4.719063545,-0.001990533,0.482847555,-0.006714779,0.394154734,-0.004352656,0.438501144,-0.011841132,0.00902843,-0.156423977,0.076802932,0.014890432,0.174261731,86.95100638,-7.7370387,4.497955344999997
